,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedMatchSigStr,BlueMatchSigStr,RedMatchTD,BlueMatchTD,RedMatchSubAtt,BlueMatchSubAtt,MatchFightTime,FightTag,Result
3316,Misha Cirkunov,Jimmy Crute,-105.0,-115.0,95.2381,86.9565,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Red,False,Light Heavyweight,MALE,3,0,2,0,4.56,0.57,2.3,0.58,1.0,2,0,4,0,0,0,0,1,1,0,2,Orthodox,187.96,187.96,205,1,0,0,4.18,0.52,2.4,4.42,0.57,4,3,11,0,0,0,0,1,4,0,5,Orthodox,190.5,195.58,205,32,23,1,2,-2,-3,3,-7,0,0,-3,-2.54,-7.62,9,0.38,-0.1,-3.84,0.0,,15.0,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,Red,SUB,Peruvian Necktie,1.0,3:38,218.0,500.0,600.0,240.0,800.0,700.0,175.0,,,,,,,,Sep_14_19_misha_cirkunov_jimmy_crute,2
3317,Marcin Tybura,Augusto Sakai,105.0,-125.0,105.0,80.0,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Blue,False,Heavyweight,MALE,3,0,2,0,5.51,0.46,0.0,0.24,0.5,2,0,6,0,0,1,0,1,0,0,2,Orthodox,190.5,195.58,265,1,0,0,3.61,0.51,0.1,1.48,0.61,3,4,24,0,0,0,2,2,0,0,4,Orthodox,190.5,198.12,249,33,28,1,2,-1,-2,4,-18,0,-1,0,0.0,-2.54,5,1.9,-0.1,-1.24,0.0,15.0,14.0,,,,,14.0,,,,,,,,,,,,,15.0,,,,,,,,,Red,KO/TKO,Punches,1.0,0:59,59.0,200.0,245.0,800.0,1500.0,642.0,225.0,,,,,,,,Sep_14_19_marcin_tybura_augusto_sakai,4
3318,Cole Smith,Miles Johns,115.0,-135.0,115.0,74.0741,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Blue,False,Bantamweight,MALE,3,0,0,0,3.47,0.53,0.0,2.0,0.66,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,167.64,135,0,1,0,1.63,0.33,1.0,1.5,0.3,1,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,170.18,135,30,25,0,-1,-1,-1,0,-3,0,0,0,-10.16,-2.54,5,1.84,-1.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,240.0,170.0,705.0,730.0,650.0,484.0,,,,,,,,Sep_14_19_cole_smith_miles_johns,6
3319,Brad Katona,Hunter Azure,-130.0,110.0,76.9231,110.0,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Blue,False,Bantamweight,MALE,3,0,0,0,4.0,0.5,2.5,2.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,135,1,0,0,3.33,0.51,0.0,1.25,0.22,2,1,9,0,0,0,2,0,0,0,2,Orthodox,167.64,162.56,135,27,27,1,0,-2,-2,1,-9,0,0,0,5.08,12.7,0,0.67,2.5,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,155.0,180.0,475.0,1795.0,1075.0,725.0,,,,,,,,Sep_14_19_brad_katona_hunter_azure,6
3320,Chas Skelly,Jordan Griffin,145.0,-160.0,145.0,62.5,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Red,False,Featherweight,MALE,3,1,0,0,3.15,0.46,1.8,0.44,0.25,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,145,2,0,0,2.02,0.4,2.4,1.71,0.34,4,4,22,0,0,0,1,1,4,0,6,Orthodox,180.34,182.88,145,34,29,1,0,-4,-6,3,-19,0,-1,-4,-2.54,2.54,5,1.13,-0.6,-1.27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,410.0,300.0,325.0,310.0,1450.0,390.0,,,,,,,,Sep_14_19_chas_skelly_jordan_griffin,3
3321,Louis Smolka,Ryan MacDonald,-230.0,190.0,43.4783,190.0,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Red,False,Bantamweight,MALE,3,1,0,0,2.28,0.29,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Switch,180.34,180.34,135,1,0,0,4.22,0.46,2.1,1.65,0.34,4,6,29,0,0,0,2,2,2,0,6,Orthodox,175.26,172.72,135,28,26,0,0,-4,-6,5,-26,0,-2,-2,5.08,7.62,2,-1.94,-2.1,-1.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:43,283.0,215.0,,165.0,,675.0,,,,,,,,,Sep_14_19_louis_smolka_ryan_macdonald,1
3322,Kyle Prepolec,Austin Hubbard,120.0,-140.0,120.0,71.4286,2019-09-14,"Vancouver, British Columbia, Canada", Canada,Blue,False,Lightweight,MALE,3,1,0,0,3.17,0.41,0.0,1.5,0.6,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,155,1,0,0,3.2,0.34,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,170,30,27,0,0,0,0,0,0,0,0,0,0.0,2.54,3,-0.03,0.0,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,190.0,145.0,1150.0,705.0,675.0,620.0,,,,,,,,Sep_14_19_kyle_prepolec_austin_hubbard,6
3323,Khabib Nurmagomedov,Dustin Poirier,-400.0,325.0,25.0,325.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,True,Lightweight,MALE,5,0,5,0,5.51,0.49,1.2,1.55,0.37,5,5,54,1,1,0,5,9,3,0,18,Southpaw,175.26,182.88,155,0,11,0,4.11,0.49,0.7,5.35,0.47,11,0,33,2,0,0,6,2,3,0,11,Orthodox,177.8,177.8,155,30,30,0,-6,-6,7,-5,21,-1,7,0,-2.54,5.08,0,1.4,0.5,-3.8,0.0,1.0,0.0,,,,,,,,,0.0,,,,2.0,,,,,,,,,1.0,,,,8.0,Red,SUB,Rear Naked Choke,3.0,2:06,726.0,165.0,1000.0,210.0,1600.0,350.0,500.0,,,,,,,,Sep_07_19_khabib_nurmagomedov_dustin_poirier,2
3324,Edson Barboza,Paul Felder,-120.0,100.0,83.3333,100.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Blue,False,Lightweight,MALE,3,0,1,0,3.55,0.43,0.3,0.29,0.27,3,4,30,0,0,1,2,4,1,0,8,Orthodox,180.34,177.8,155,1,0,0,4.01,0.43,0.1,0.49,0.44,4,7,52,0,1,1,5,6,0,0,14,Orthodox,180.34,190.5,155,33,35,1,1,-1,-6,3,-22,0,-2,1,0.0,-12.7,-2,-0.46,0.2,-0.2,0.0,10.0,7.0,,,,,,,,,7.0,,,,,,,,,,,,,10.0,,,,,Red,S-DEC,,3.0,5:00,900.0,180.0,300.0,1600.0,1400.0,300.0,330.0,,,,,,,,Sep_07_19_edson_barboza_paul_felder,6
3325,Islam Makhachev,Davi Ramos,-380.0,315.0,26.3158,315.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,False,Lightweight,MALE,3,0,4,0,2.74,0.39,0.7,2.42,0.5,4,1,11,0,0,0,1,0,3,0,4,Orthodox,167.64,177.8,155,0,5,0,2.1,0.56,0.8,3.4,0.68,5,1,13,0,0,0,3,1,2,0,6,Orthodox,177.8,177.8,155,27,32,0,-1,-1,-2,0,-2,0,-1,1,-10.16,0.0,-5,0.64,-0.1,-0.98,0.0,,15.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,-165.0,800.0,900.0,600.0,800.0,1200.0,,,,,,,,Sep_07_19_islam_makhachev_davi_ramos,3
3326,Curtis Blaydes,Shamil Abdurakhimov,-550.0,425.0,18.1818,425.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,False,Heavyweight,MALE,3,0,3,0,2.45,0.44,0.2,1.23,0.24,3,2,17,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,235,0,1,0,3.74,0.51,0.0,6.63,0.55,5,2,21,0,0,0,3,3,0,0,6,Orthodox,193.04,203.2,265,28,38,0,2,-2,-1,0,-4,0,-1,0,-2.54,-10.16,-10,-1.29,0.2,-5.4,0.0,9.0,4.0,,,,,4.0,,,,,,,,,,,,,9.0,,,,,,,,,Red,KO/TKO,Elbow,2.0,2:22,442.0,180.0,1000.0,1200.0,1400.0,100.0,700.0,,,,,,,,Sep_07_19_curtis_blaydes_shamil_abdurakhimov,1
3327,Mairbek Taisumov,Diego Ferreira,-245.0,205.0,40.8163,205.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Blue,False,Lightweight,MALE,3,0,4,0,5.07,0.36,1.0,1.04,0.27,4,2,12,0,0,0,2,3,1,0,6,Orthodox,175.26,187.96,155,0,6,0,2.98,0.39,0.0,1.34,0.63,6,1,13,0,0,0,2,5,0,0,7,Orthodox,175.26,185.42,155,31,34,0,-2,-2,-1,-1,-1,0,-2,1,0.0,2.54,-3,2.09,1.0,-0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,200.0,600.0,1000.0,750.0,120.0,650.0,,,,,,,,Sep_07_19_mairbek_taisumov_diego_ferreira,6
3328,Joanne Calderwood,Andrea Lee,210.0,-250.0,210.0,40.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,False,Women's Flyweight,FEMALE,3,0,3,0,5.02,0.53,0.5,1.75,0.46,3,0,9,0,0,0,3,0,0,0,3,Orthodox,167.64,175.26,125,1,0,0,6.19,0.47,0.5,1.85,0.56,2,4,21,0,0,0,3,1,1,0,5,Orthodox,167.64,165.1,125,33,30,1,3,1,-2,4,-12,0,-1,-1,0.0,10.16,3,-1.17,0.0,-0.1,0.0,6.0,5.0,5.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,Red,S-DEC,,3.0,5:00,900.0,220.0,-130.0,950.0,850.0,1215.0,800.0,,,,,,,,Sep_07_19_joanne_calderwood_andrea_lee,3
3329,Liana Jojua,Sarah Moras,-155.0,135.0,64.5161,135.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Blue,False,Women's Bantamweight,FEMALE,3,3,0,0,2.04,0.41,1.1,0.91,0.23,1,4,15,0,0,0,1,0,1,0,2,Orthodox,170.18,170.18,135,0,0,0,1.53,0.42,0.0,2.41,0.66,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,135,24,31,-3,0,1,2,-4,15,0,0,1,7.62,12.7,-7,0.51,1.1,-1.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,3.0,2:26,746.0,125.0,300.0,540.0,550.0,690.0,950.0,,,,,,,,Sep_07_19_liana_jojua_sarah_moras,4
3330,Ottman Azaitar,Teemu Packalen,-190.0,165.0,52.6316,165.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,False,Lightweight,MALE,3,1,0,0,2.57,0.54,1.5,2.31,0.25,1,2,5,0,0,0,0,0,1,0,1,Orthodox,185.42,190.5,155,0,0,0,7.61,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Switch,172.72,180.34,155,29,32,-1,0,1,1,-2,5,0,0,1,12.7,10.16,-3,-5.04,1.5,2.31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,3:33,213.0,345.0,500.0,1250.0,475.0,100.0,800.0,,,,,,,,Sep_07_19_ottman_azaitar_teemu_packalen,1
3331,Belal Muhammad,Takashi Sato,-390.0,320.0,25.641,320.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,False,Welterweight,MALE,3,0,1,0,3.13,0.36,0.0,0.82,0.5,1,0,2,0,0,0,0,1,0,0,1,Southpaw,177.8,185.42,170,0,1,0,4.37,0.41,0.2,2.15,0.31,4,3,25,0,0,1,4,1,0,0,6,Orthodox,180.34,182.88,170,31,29,0,0,-3,-5,3,-23,0,0,0,-2.54,2.54,2,-1.24,-0.2,-1.33,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,3.0,1:55,715.0,-175.0,800.0,765.0,1275.0,600.0,600.0,,,,,,,,Sep_07_19_belal_muhammad_takashi_sato,2
3332,Nordine Taleb,Muslim Salikhov,-130.0,110.0,76.9231,110.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Blue,False,Welterweight,MALE,3,0,1,0,2.92,0.46,0.0,1.22,0.42,1,1,4,0,0,0,0,1,0,0,1,Orthodox,180.34,177.8,170,0,1,0,3.66,0.51,0.0,1.94,0.76,3,4,26,0,0,1,4,2,0,0,7,Orthodox,185.42,187.96,170,38,35,0,0,-2,-6,3,-22,0,-1,0,-5.08,-10.16,3,-0.74,0.0,-0.72,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:26,266.0,170.0,325.0,925.0,1370.0,500.0,310.0,,,,,,,,Sep_07_19_nordine_taleb_muslim_salikhov,4
3333,Omari Akhmedov,Zak Cummings,-125.0,105.0,80.0,105.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,False,Middleweight,MALE,3,0,2,0,2.47,0.32,0.8,0.75,0.28,2,4,27,0,0,0,3,1,4,0,8,Southpaw,182.88,190.5,185,0,1,1,2.99,0.34,0.2,2.4,0.5,2,3,24,0,0,1,3,2,0,0,6,Orthodox,182.88,185.42,185,31,35,0,1,0,2,-1,3,0,-1,4,0.0,5.08,-4,-0.52,0.6,-1.65,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,195.0,250.0,715.0,515.0,650.0,550.0,,,,,,,,Sep_07_19_omari_akhmedov_zak_cummings,3
3334,Don Madge,Fares Ziam,-190.0,165.0,52.6316,165.0,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates,Red,False,Lightweight,MALE,3,0,0,0,0.67,0.32,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,155,0,1,0,2.08,0.52,0.7,2.22,0.25,1,0,2,0,0,0,0,1,0,0,1,Southpaw,182.88,182.88,155,28,22,0,-1,-1,-1,0,-2,0,-1,0,2.54,7.62,6,-1.41,-0.7,-2.22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,335.0,350.0,325.0,715.0,250.0,600.0,,,,,,,,Sep_07_19_don_madge_fares_ziam,3
3335,Jessica Andrade,Zhang Weili,-200.0,170.0,50.0,170.0,2019-08-31,"Shenzhen, Guangdong, China", China,Blue,True,Women's Strawweight,FEMALE,5,0,3,0,6.22,0.49,0.9,1.75,0.3,3,0,7,0,0,0,2,0,1,0,3,Switch,162.56,160.02,115,0,4,0,6.55,0.51,0.5,3.21,0.58,4,4,35,1,0,1,5,3,2,0,11,Orthodox,154.94,157.48,115,27,30,0,-1,-1,-8,4,-28,-1,-3,-1,7.62,2.54,-3,-0.33,0.4,-1.46,0.0,,0.0,,,0.0,,,,,,,,,,15.0,,,,,,,,,,,,,,Red,,,,,,256.0,,425.0,,276.0,,,,,,,,,Aug_31_19_jessica_andrade_zhang_weili,6
3336,Li Jingliang,Elizeu Dos Santos,215.0,-255.0,215.0,39.2157,2019-08-31,"Shenzhen, Guangdong, China", China,Red,False,Welterweight,MALE,3,0,7,0,4.18,0.39,0.6,0.45,0.14,7,1,19,0,0,1,2,3,1,0,7,Orthodox,180.34,185.42,170,0,2,0,4.9,0.43,0.0,1.24,0.36,4,3,26,0,0,1,2,5,0,0,8,Orthodox,182.88,180.34,170,31,32,0,5,3,-1,2,-7,0,-2,1,-2.54,5.08,-1,-0.72,0.6,-0.79,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,425.0,265.0,1428.0,400.0,500.0,177.0,,,,,,,,Aug_31_19_li_jingliang_elizeu_dos_santos,3
3337,Kai Kara-France,Mark De La Rosa,-185.0,160.0,54.0541,160.0,2019-08-31,"Shenzhen, Guangdong, China", China,Red,False,Flyweight,MALE,3,1,0,0,3.05,0.36,0.3,0.77,0.17,2,2,10,0,0,1,0,0,1,0,2,Orthodox,167.64,165.1,135,0,2,0,5.28,0.41,0.0,0.75,0.37,2,0,6,0,0,1,1,0,0,0,2,Orthodox,162.56,175.26,125,26,25,-1,-2,0,0,-2,4,0,0,1,5.08,-10.16,1,-2.23,0.3,0.02,0.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,Blue,U-DEC,,3.0,5:00,900.0,100.0,325.0,900.0,685.0,520.0,1300.0,,,,,,,,Aug_31_19_kai_kara_france_mark_de_la_rosa,3
3338,Song Kenan,Derrick,-110.0,-110.0,90.9091,90.9091,2019-08-31,"Shenzhen, Guangdong, China", China,Red,False,Welterweight,MALE,3,1,0,0,2.07,0.37,0.8,3.18,0.5,0,1,1,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,1,0,0,4.13,0.45,0.0,0.0,0.0,2,1,6,0,0,0,0,2,0,0,2,Orthodox,182.88,180.34,170,29,31,0,0,-2,-2,0,-5,0,-2,0,-5.08,2.54,-2,-2.06,0.8,3.18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,313.0,,1050.0,,280.0,,,,,,,,,Aug_31_19_song_kenan_derrick,3
3339,Wu Yanan,Mizuki Inoue,150.0,-170.0,150.0,58.8235,2019-08-31,"Shenzhen, Guangdong, China", China,Blue,False,Women's Flyweight,FEMALE,3,0,0,0,6.2,0.45,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,160.02,165.1,125,0,1,0,4.79,0.45,0.4,0.44,0.14,1,1,4,0,0,0,0,0,1,0,1,Orthodox,172.72,167.64,125,23,25,0,-1,-1,-1,1,-4,0,0,-1,-12.7,-2.54,-2,1.41,-0.4,-0.44,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,177.0,110.0,1403.0,470.0,1150.0,1515.0,,,,,,,,Aug_31_19_wu_yanan_mizuki_inoue,6
3340,Junyong Park,Anthony Hernandez,125.0,-145.0,125.0,68.9655,2019-08-31,"Shenzhen, Guangdong, China", China,Blue,False,Middleweight,MALE,3,1,0,0,5.23,0.54,0.9,5.48,0.66,0,1,2,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,185,0,0,0,6.41,0.47,0.0,3.04,0.5,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,185,28,25,-1,0,0,0,-1,2,0,0,0,5.08,5.08,3,-1.18,0.9,2.44,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,2.0,4:39,579.0,350.0,325.0,975.0,250.0,325.0,510.0,,,,,,,,Aug_31_19_junyong_park_anthony_hernandez,5
3341,Su Mudaerji,Andre Soukhamthath,140.0,-160.0,140.0,62.5,2019-08-31,"Shenzhen, Guangdong, China", China,Red,False,Bantamweight,MALE,3,1,0,0,2.77,0.44,0.2,1.25,0.53,1,4,17,0,0,0,1,1,0,0,2,Orthodox,175.26,177.8,135,1,0,0,5.02,0.59,1.4,0.68,1.0,0,1,2,0,0,0,0,0,0,0,0,Southpaw,172.72,182.88,135,23,30,0,0,1,2,-3,15,0,1,0,2.54,-5.08,-7,-2.25,-1.2,0.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,215.0,245.0,1350.0,475.0,600.0,325.0,,,,,,,,Aug_31_19_su_mudaerji_andre_soukhamthath,3
3342,Da Un Jung,Khadis Ibragimov,245.0,-290.0,245.0,34.4828,2019-08-31,"Shenzhen, Guangdong, China", China,Red,False,Light Heavyweight,MALE,3,0,0,0,5.23,0.52,0.0,1.67,0.3,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,205,0,0,0,6.59,0.43,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,198.12,205,25,24,0,0,0,0,0,0,0,0,0,-2.54,0.0,1,-1.36,-1.1,1.67,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,520.0,250.0,1675.0,320.0,380.0,275.0,,,,,,,,Aug_31_19_da_un_jung_khadis_ibragimov,3
3343,Damir Ismagulov,Thiago Moises,-220.0,180.0,45.4545,180.0,2019-08-31,"Shenzhen, Guangdong, China", China,Red,False,Lightweight,MALE,3,0,1,0,2.96,0.45,1.5,1.22,0.36,1,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,155,0,2,0,3.76,0.43,0.0,1.67,0.31,2,0,6,0,0,0,2,0,0,0,2,Orthodox,175.26,177.8,155,28,24,0,-1,-1,-1,-1,0,0,0,0,0.0,0.0,4,-0.8,1.5,-0.45,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,105.0,310.0,1008.0,900.0,600.0,1160.0,,,,,,,,Aug_31_19_damir_ismagulov_thiago_moises,3
3344,Heili Alateng,Danaa Batgerel,-120.0,100.0,83.3333,100.0,2019-08-31,"Shenzhen, Guangdong, China", China,Red,False,Bantamweight,MALE,3,0,0,0,5.67,0.36,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,0,0,0,2.77,0.37,0.0,3.5,0.35,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,167.64,135,27,30,0,0,0,0,0,0,0,0,0,5.08,10.16,-3,2.9,0.0,-3.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,360.0,260.0,1000.0,925.0,270.0,320.0,,,,,,,,Aug_31_19_heili_alateng_danaa_batgerel,3
3345,Karol Rosa,Lara Procopio,-115.0,-105.0,86.9565,95.2381,2019-08-31,"Shenzhen, Guangdong, China", China,Red,False,Women's Bantamweight,FEMALE,3,0,0,0,11.0,0.56,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,170.18,135,0,0,0,11.4,0.48,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,135,24,23,0,0,0,0,0,0,0,0,0,-2.54,0.0,1,-0.4,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,325.0,180.0,685.0,500.0,1300.0,1387.0,,,,,,,,Aug_31_19_karol_rosa_lara_procopio,3
3346,Daniel Cormier,Stipe Miocic,-145.0,125.0,68.9655,125.0,2019-08-17,"Anaheim, California, USA", USA,Blue,True,Heavyweight,MALE,5,1,0,0,4.95,0.52,0.0,2.2,0.37,6,3,35,6,0,0,4,8,0,0,12,Orthodox,193.04,203.2,240,0,7,0,4.25,0.52,0.5,1.95,0.44,12,1,54,8,0,1,6,8,4,0,19,Orthodox,180.34,182.88,235,40,36,-1,-7,-6,-7,-2,-19,-2,0,-4,12.7,20.32,4,0.7,-0.5,0.25,0.0,1.0,0.0,,,,,0.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,11.0,Red,KO/TKO,Punches,4.0,4:09,1149.0,430.0,485.0,600.0,3000.0,175.0,190.0,,,,,,,,Aug_17_19_daniel_cormier_stipe_miocic,4
3347,Anthony Pettis,Nate Diaz,-120.0,100.0,83.3333,100.0,2019-08-17,"Anaheim, California, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,4.62,0.45,1.4,1.19,0.3,5,10,66,0,0,1,2,4,11,0,18,Southpaw,182.88,193.04,170,0,1,0,2.97,0.46,1.2,0.67,0.54,5,8,55,4,0,1,2,4,7,0,14,Orthodox,177.8,182.88,155,32,34,-1,-1,0,4,-2,11,-4,0,4,5.08,10.16,-2,1.65,0.2,0.52,0.0,,7.0,,,,,,,,7.0,9.0,,,,,,,,,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,160.0,250.0,970.0,750.0,560.0,565.0,,,,,,,,Aug_17_19_anthony_pettis_nate_diaz,6
3348,Yoel Romero,Paulo Costa,-165.0,145.0,60.6061,145.0,2019-08-17,"Anaheim, California, USA", USA,Blue,False,Middleweight,MALE,3,0,4,0,8.43,0.57,0.0,0.0,0.0,4,0,7,0,0,0,0,4,0,0,4,Orthodox,185.42,182.88,185,1,0,0,3.71,0.49,0.0,1.79,0.31,8,2,37,2,0,1,1,7,0,0,9,Orthodox,182.88,185.42,185,42,28,1,4,-4,-5,2,-30,-2,-3,0,2.54,-2.54,14,4.72,0.0,-1.79,0.0,7.0,2.0,,,,,,,2.0,,,,,,,,,,,,,7.0,,,,,,,Red,U-DEC,,3.0,5:00,900.0,375.0,410.0,1450.0,2600.0,150.0,225.0,,,,,,,,Aug_17_19_yoel_romero_paulo_costa,6
